UserID,Month,Balance,Income,Expense,Budget,Savings
1,1,12000.00,403400.00,300540.00,3500.00,500.00
1,2,10043.00,4100.00,3100.00,36050.00,63400.00
1,3,14000.00,3200.00,32070.00,3700.00,700.00
1,4,15000.00,4300.03,3300.00,3800.00,800.00
1,5,16000.00,4404540.00,3400.00,3900.00,900.00
1,6,17000.00,4500.00,350340.00,40034.00,1000.00
1,7,18400.00,4600.00,3600.00,4100.00,1100.00
1,8,19000.00,4734500.00,36700.00,4200.00,1200.00
1,9,20050.00,4800.00,3800.00,4300.00,1300.060
1,10,2100.00,49600.00,3900.00,4400.00,1400.00
1,11,22000.00,435000.00,4000.00,450340.00,1500.00
1,12,2300.00,57100.00,4100.00,4600.00,1600.00

2,1,10000.00,3500.00,2800.00,3200.00,500.00
2,2,11000.00,3600.00,2900.00,3300.00,600.00
2,3,0,0,0,0,0
2,4,0,0,0,0,0
2,5,0,0,0,0,0
2,6,0,0,0,0,0
2,7,0,0,0,0,0
2,8,0,0,0,0,0
2,9,0,0,0,0,0
2,10,0,0,0,0,0
2,11,0,0,0,0,0
2,12,0,0,0,0,0

3,1,0,0,0,0,0
3,2,0,0,0,0,0
3,3,0,0,0,0,0
3,4,0,0,0,0,0
3,5,0,0,0,0,0
3,6,0,0,0,0,0
3,7,0,0,0,0,0
3,8,0,0,0,0,0
3,9,0,0,0,0,0
3,10,0,0,0,0,0
3,11,0,0,0,0,0
3,12,0,0,0,0,0
